file,method,model,benchmark,max_tokens,rounds,n_samples,round,pass@1,pass@2,pass@4,pass@8,pass@16,total_verified_samples
refinement_qwen3-8b_imobench_t1024_r4_n16_temp0.7_topp0.9.jsonl,refinement,qwen3-8b,imobench,1024,4,16,R1,2.08,3.73,6.14,9.04,12.25,6400
refinement_qwen3-8b_imobench_t1024_r4_n16_temp0.7_topp0.9.jsonl,refinement,qwen3-8b,imobench,1024,4,16,R2,5.22,8.76,13.47,18.73,19.88,5928
refinement_qwen3-8b_imobench_t1024_r4_n16_temp0.7_topp0.9.jsonl,refinement,qwen3-8b,imobench,1024,4,16,R3,5.15,9.03,14.52,20.81,25.29,5609
refinement_qwen3-8b_imobench_t1024_r4_n16_temp0.7_topp0.9.jsonl,refinement,qwen3-8b,imobench,1024,4,16,R4,5.48,9.27,15.15,22.37,11.86,5373
refinement_qwen3-8b_imobench_t2048_r4_n16_temp0.7_topp0.9.jsonl,refinement,qwen3-8b,imobench,2048,4,16,R1,3.28,5.70,9.09,13.05,16.50,6400
refinement_qwen3-8b_imobench_t2048_r4_n16_temp0.7_topp0.9.jsonl,refinement,qwen3-8b,imobench,2048,4,16,R2,13.72,20.64,28.37,36.21,43.53,5947
refinement_qwen3-8b_imobench_t2048_r4_n16_temp0.7_topp0.9.jsonl,refinement,qwen3-8b,imobench,2048,4,16,R3,12.50,19.62,27.96,35.97,45.71,5420
refinement_qwen3-8b_imobench_t2048_r4_n16_temp0.7_topp0.9.jsonl,refinement,qwen3-8b,imobench,2048,4,16,R4,12.47,19.51,28.18,37.13,46.00,5261
refinement_qwen3-8b_imobench_t4096_r4_n16_temp0.7_topp0.9.jsonl,refinement,qwen3-8b,imobench,4096,4,16,R1,4.94,8.05,12.22,17.18,22.25,6400
refinement_qwen3-8b_imobench_t4096_r4_n16_temp0.7_topp0.9.jsonl,refinement,qwen3-8b,imobench,4096,4,16,R2,20.28,28.94,37.67,45.53,57.31,5964
refinement_qwen3-8b_imobench_t4096_r4_n16_temp0.7_topp0.9.jsonl,refinement,qwen3-8b,imobench,4096,4,16,R3,19.66,28.70,37.68,45.65,60.00,5270
refinement_qwen3-8b_imobench_t4096_r4_n16_temp0.7_topp0.9.jsonl,refinement,qwen3-8b,imobench,4096,4,16,R4,20.44,29.84,39.17,47.23,46.67,5137
refinement_dp_qwen3-8b_imobench_t8192_r4_n16_temp0.7_topp0.9.jsonl,refinement_dp,qwen3-8b,imobench,8192,4,16,R1,28.10,44.21,64.01,75.00,87.50,408
refinement_dp_qwen3-8b_imobench_t8192_r4_n16_temp0.7_topp0.9.jsonl,refinement_dp,qwen3-8b,imobench,8192,4,16,R2,13.31,18.33,22.65,29.38,30.77,2362
refinement_dp_qwen3-8b_imobench_t8192_r4_n16_temp0.7_topp0.9.jsonl,refinement_dp,qwen3-8b,imobench,8192,4,16,R3,6.67,4.44,0.00,0.00,0.00,61
refinement_dp_qwen3-8b_imobench_t8192_r4_n16_temp0.7_topp0.9.jsonl,refinement_dp,qwen3-8b,imobench,8192,4,16,R4,44.85,57.14,0.00,0.00,0.00,76
qwen3_8b_dp/refinement_qwen3-8b_imobench_t4096_r3_n8.jsonl,refinement_dp,qwen3-8b,imobench,4096,3,8,R1,41.67,75.00,100.00,0.00,,13
qwen3_8b_dp/refinement_qwen3-8b_imobench_t4096_r3_n8.jsonl,refinement_dp,qwen3-8b,imobench,4096,3,8,R2,9.61,11.82,18.60,21.43,,1208
qwen3_8b_dp/refinement_qwen3-8b_imobench_t4096_r3_n8.jsonl,refinement_dp,qwen3-8b,imobench,4096,3,8,R3,4.76,0.00,0.00,0.00,,85
qwen3_8b_dp/refinement_qwen3-8b_imobench_t8192_r3_n8.jsonl,refinement_dp,qwen3-8b,imobench,8192,3,8,R1,33.16,61.64,63.64,60.00,,218
qwen3_8b_dp/refinement_qwen3-8b_imobench_t8192_r3_n8.jsonl,refinement_dp,qwen3-8b,imobench,8192,3,8,R2,11.79,14.36,17.72,15.91,,1209
qwen3_8b_dp/refinement_qwen3-8b_imobench_t8192_r3_n8.jsonl,refinement_dp,qwen3-8b,imobench,8192,3,8,R3,13.79,0.00,0.00,0.00,,34
qwen3_8b_dp/refinement_qwen3-8b_imobench_t16384_r3_n8.jsonl,refinement_dp,qwen3-8b,imobench,16384,3,8,R1,46.23,59.01,70.24,78.95,,1345
qwen3_8b_dp/refinement_qwen3-8b_imobench_t16384_r3_n8.jsonl,refinement_dp,qwen3-8b,imobench,16384,3,8,R2,13.27,17.13,19.12,22.86,,1035
qwen3_8b_dp/refinement_qwen3-8b_imobench_t16384_r3_n8.jsonl,refinement_dp,qwen3-8b,imobench,16384,3,8,R3,25.00,0.00,0.00,0.00,,17
qwen3_8b_dp/imobench_t16384_r3_dp4_acc.jsonl,accumulate_dp,qwen3-8b,imobench,16384,3,1,R1,29.50,,,,, 400
qwen3_8b_dp/imobench_t16384_r3_dp4_acc.jsonl,accumulate_dp,qwen3-8b,imobench,16384,3,1,R2,12.12,,,,,33
qwen3_8b_dp/imobench_t16384_r3_dp4_acc.jsonl,accumulate_dp,qwen3-8b,imobench,16384,3,1,R3,30.30,,,,,99
